1_ames_mutagenicity_data	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
1005_ames_mutagenicity_data	CC(=O)C(C)=O
1006_ames_mutagenicity_data	COS(=O)(=O)[O-].C[n+]1c2ccccc2nc2ccccc21
1007_ames_mutagenicity_data	Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
1008_ames_mutagenicity_data	Nc1cccc(O)c1
1009_ames_mutagenicity_data	Nc1nc2cc(Cl)c(Cl)cc2s1
1010_ames_mutagenicity_data	CCCCCCCCC1CO1
1011_ames_mutagenicity_data	C=CC(=O)OCCCCCOC(=O)C=C
1012_ames_mutagenicity_data	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O
1013_ames_mutagenicity_data	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@H](O)[C@H]2O
1014_ames_mutagenicity_data	CC(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@@H](CO[C@@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
1015_ames_mutagenicity_data	N#CC(C#N)=C(C#N)C#N
1016_ames_mutagenicity_data	C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
1017_ames_mutagenicity_data	C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O
1018_ames_mutagenicity_data	Cc1nc2ccccc2s1
1019_ames_mutagenicity_data	Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
1020_ames_mutagenicity_data	CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
1021_ames_mutagenicity_data	CCOCOCC
1022_ames_mutagenicity_data	C[Hg]Cl
1023_ames_mutagenicity_data	ClCCSCCCl
1024_ames_mutagenicity_data	Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
1025_ames_mutagenicity_data	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
1026_ames_mutagenicity_data	N#Cc1cc(Br)c(O)c(Br)c1
1027_ames_mutagenicity_data	CC(O)CCC(=O)c1ccoc1
1028_ames_mutagenicity_data	CCCO
1029_ames_mutagenicity_data	NC(=O)c1ccc(N)cc1
1030_ames_mutagenicity_data	Nc1ccc(S(N)(=O)=O)cc1
1031_ames_mutagenicity_data	C=C(C)C(=O)OCC(C)(C)C
1032_ames_mutagenicity_data	CC1CS1
1033_ames_mutagenicity_data	CNC(=O)c1c(N(C)N=O)ncn1C
1034_ames_mutagenicity_data	Nc1nc(=O)c2ncn(C3C=CC(CO)C3)c2[nH]1
1035_ames_mutagenicity_data	C=Cc1ccc(OC)cc1
1036_ames_mutagenicity_data	O=C(OCC(COC(=O)c1ccccc1)(COC(=O)c1ccccc1)COC(=O)c1ccccc1)c1ccccc1
1037_ames_mutagenicity_data	O=[N+]([O-])/C(Br)=C\c1ccccc1
1038_ames_mutagenicity_data	Nc1ncnc2c1ncn2[C@@H]1CC[C@H](CO)O1
1039_ames_mutagenicity_data	CC[Ge](Cl)(CC)CC
1040_ames_mutagenicity_data	c1ccc(-c2ccccc2-c2ccccc2)cc1
1041_ames_mutagenicity_data	c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
1042_ames_mutagenicity_data	C=CC[Si](C)(C)C
1043_ames_mutagenicity_data	O=c1c(O)c(O)c1=O
1044_ames_mutagenicity_data	CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1
1045_ames_mutagenicity_data	CNC(=O)N(c1ccccc1)c1ccccc1
1046_ames_mutagenicity_data	CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
1047_ames_mutagenicity_data	O=c1[nH][nH]c2ccccc12
1048_ames_mutagenicity_data	C=C[Si](C)(C)CCl
1049_ames_mutagenicity_data	Clc1nnc(Cl)c2ccccc12
1050_ames_mutagenicity_data	Oc1ccc(Cl)c(Cl)c1Cl
1051_ames_mutagenicity_data	CNN
1052_ames_mutagenicity_data	O=C1N=NC(=O)C2C=CC=CC12
1053_ames_mutagenicity_data	O=C(C(=O)c1ccccc1)c1ccccc1
1054_ames_mutagenicity_data	C=CC(=O)OCC(C)(C)C
1055_ames_mutagenicity_data	C=C(C)C(=O)OCC(C)(C)COC(=O)C(=C)C
1056_ames_mutagenicity_data	CCCCCCCCCCC1CO1
1057_ames_mutagenicity_data	O=[N+]([O-])c1ccccc1-c1ccccc1
1058_ames_mutagenicity_data	C=C(C)C(=O)OCCCCOC(=O)C(=C)C
1059_ames_mutagenicity_data	O=C1c2cccc(O)c2C(=O)c2cccc(O)c21
1060_ames_mutagenicity_data	CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1
1061_ames_mutagenicity_data	N#CCc1ccc(Cl)cc1
1062_ames_mutagenicity_data	C=CC(=O)OCCCCC
1063_ames_mutagenicity_data	C=CCc1ccc(O)cc1
1064_ames_mutagenicity_data	C=CC(=O)OCCOCCOC(=O)C=C
1065_ames_mutagenicity_data	Nc1n[nH]c(=S)s1
1066_ames_mutagenicity_data	C=C1CC/C=C(\C)CC[C@@H]2[C@H]1CC2(C)C
1067_ames_mutagenicity_data	CCO[Si](OCC)(OCC)OCC
1068_ames_mutagenicity_data	CC(COC(=O)c1ccccc1)(COC(=O)c1ccccc1)COC(=O)c1ccccc1
1069_ames_mutagenicity_data	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
1070_ames_mutagenicity_data	O=C(O)CCc1ccccc1
1071_ames_mutagenicity_data	OCCCc1ccccc1
1072_ames_mutagenicity_data	Clc1cc(Cl)c(Cl)cc1Cl
1073_ames_mutagenicity_data	Nc1nc2ccc([N+](=O)[O-])cc2s1
1074_ames_mutagenicity_data	Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
1075_ames_mutagenicity_data	O=c1nc[nH]c2c1ncn2[C@@H]1CC[C@H](CO)O1
1076_ames_mutagenicity_data	CC(=O)CC(=O)CCC(=O)O
1077_ames_mutagenicity_data	COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
1078_ames_mutagenicity_data	CSC(C)(C)/C=N/O
1079_ames_mutagenicity_data	O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21
1080_ames_mutagenicity_data	N#CCCN
1081_ames_mutagenicity_data	C=C(C)C(=O)OCCCCCOC(=O)C(=C)C
1082_ames_mutagenicity_data	CCCCC/C=C/C=C/C=O
1083_ames_mutagenicity_data	O=C1C=CC(=O)CC(=O)C1
1084_ames_mutagenicity_data	CCCCC=O
1085_ames_mutagenicity_data	ClCBr
1086_ames_mutagenicity_data	CC(=O)CC(C)(C)O
1087_ames_mutagenicity_data	O=C1c2ccccc2CCc2ccccc21
1088_ames_mutagenicity_data	COc1ccc2nc(N)sc2c1
1089_ames_mutagenicity_data	C=CC(=O)OCCCCOC(=O)C=C
1090_ames_mutagenicity_data	c1ccc2c(c1)CCCC2
1091_ames_mutagenicity_data	C=C(C)C(=O)OCCOCCOC(=O)C(=C)C
1092_ames_mutagenicity_data	S=[Se]
1093_ames_mutagenicity_data	C=CC(=O)OC(C)(C)C
1094_ames_mutagenicity_data	CCCCCCCCCCCCCCCCCCCC
1095_ames_mutagenicity_data	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
1096_ames_mutagenicity_data	CNC(=O)O/N=C/C(C)(C)SC
1097_ames_mutagenicity_data	COCCOC(C)=O
1098_ames_mutagenicity_data	Cc1c(N)c(=O)n(-c2ccccc2)n1C
1099_ames_mutagenicity_data	O=c1ncnc2[nH][nH]cc1-2
1100_ames_mutagenicity_data	CC1=Nc2ccccc2C1(C)C
1101_ames_mutagenicity_data	C=C(C)C(=O)OC(C)(C)C
1102_ames_mutagenicity_data	CCc1ccc(C(C)CCc2ccc([N+](C)(C)C)cc2)cc1
1103_ames_mutagenicity_data	O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl
1104_ames_mutagenicity_data	O=C(O)/C=C/c1cnc[nH]1
1105_ames_mutagenicity_data	COC(C)=O
1106_ames_mutagenicity_data	CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)c1nccs1)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C)C(C)C
1107_ames_mutagenicity_data	Cc1ccc2nc(-c3ccc(N)cc3)sc2c1
1108_ames_mutagenicity_data	CC(C)[C@@]12CC(=O)[C@@H](C)[C@@H]1C2
1109_ames_mutagenicity_data	Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
1110_ames_mutagenicity_data	CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
1111_ames_mutagenicity_data	O=C1C=Cc2ccccc2/C1=N/Nc1ccccc1
1112_ames_mutagenicity_data	Cc1cc(S(=O)(=O)O)ccc1N
1113_ames_mutagenicity_data	O=C(O)/C=C\c1ccc(O)c(O)c1
1114_ames_mutagenicity_data	C=C(C)C(C)=O
1115_ames_mutagenicity_data	O=[N+]([O-])c1cc(Cl)ccc1Cl
1116_ames_mutagenicity_data	C[SiH](Cl)Cl
1117_ames_mutagenicity_data	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1118_ames_mutagenicity_data	CC(C#N)CCC#N
1119_ames_mutagenicity_data	O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1
1120_ames_mutagenicity_data	c1ccc2[nH]cnc2c1
1121_ames_mutagenicity_data	C[C@@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1
1122_ames_mutagenicity_data	COc1ccc(C(=O)Nc2ccccc2)cc1[N+](=O)[O-]
1123_ames_mutagenicity_data	COc1cc(/C=C/C(=O)O)ccc1O
1124_ames_mutagenicity_data	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
1125_ames_mutagenicity_data	CCOC(=O)CC(=O)CCl
1126_ames_mutagenicity_data	CSC[C@@H](NC(=O)COc1cccc2cnccc12)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N1CSC[C@@H]1C(=O)NC(C)(C)C
1127_ames_mutagenicity_data	O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1C[C@](O)(C(=O)O)C[C@H](O)[C@H]1O
1128_ames_mutagenicity_data	CCCCCCCCCCCCCl
1129_ames_mutagenicity_data	Fc1ccccc1-c1ccccc1
1130_ames_mutagenicity_data	O=c1[nH]c2ccccc2o1
1131_ames_mutagenicity_data	CS(=O)(=O)c1ccc(O)c(N)c1
1132_ames_mutagenicity_data	COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O
1133_ames_mutagenicity_data	O=C1NC(=O)c2cc([N+](=O)[O-])ccc21
1134_ames_mutagenicity_data	Nc1nc(Cl)cc(Cl)n1
1135_ames_mutagenicity_data	O=C([O-])c1ccc2ccccc2c1
1136_ames_mutagenicity_data	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
1137_ames_mutagenicity_data	CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C
1138_ames_mutagenicity_data	O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
1139_ames_mutagenicity_data	O=[Zr](Cl)Cl
1140_ames_mutagenicity_data	NC(=O)NNC(N)=O
1141_ames_mutagenicity_data	c1ccc(COCc2ccccc2)cc1
1142_ames_mutagenicity_data	Nc1ccc(S(=O)(=O)Nc2cnc3c(Cl)cccc3n2)cc1
1143_ames_mutagenicity_data	Nc1ccn([C@H]2C=C(CO)[C@H](O)[C@@H]2O)c(=O)n1
1144_ames_mutagenicity_data	NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
1145_ames_mutagenicity_data	O=[N+]([O-])c1ccc2ccc3ccccc3c2c1
1146_ames_mutagenicity_data	CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1
1147_ames_mutagenicity_data	Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
1148_ames_mutagenicity_data	CC1CCCO1
1149_ames_mutagenicity_data	OC(C(F)(F)F)C(F)(F)F
1150_ames_mutagenicity_data	O=c1nc[nH]c2ccccc12
1151_ames_mutagenicity_data	CCCCCCCCC
1152_ames_mutagenicity_data	O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccccc13)OCO2
1153_ames_mutagenicity_data	C[C@H]1CC[C@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@H]2C
1154_ames_mutagenicity_data	CC(=O)C1(c2ccccc2)CCNCC1
1155_ames_mutagenicity_data	C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C
1156_ames_mutagenicity_data	Nc1cccc2c(=O)[nH][nH]c(=O)c12
1157_ames_mutagenicity_data	Cc1cccc([NH3+])c1
1158_ames_mutagenicity_data	N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
1159_ames_mutagenicity_data	C[C@H]1[C@@H](O)[C@H](C)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@@H](O[C@H]2O[C@@H](C)[C@H](O)[C@@H](N)[C@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@@H](O)CC[C@H](O)C[C@H](O)CC(=O)O[C@@H]1C)C[C@H](O)[C@H]2C(=O)O
1160_ames_mutagenicity_data	CCc1ccco1
1161_ames_mutagenicity_data	CC(=O)c1ccccn1
1162_ames_mutagenicity_data	C1COC1
1163_ames_mutagenicity_data	CN(C)C(=O)Oc1ccc[n+](C)c1
1164_ames_mutagenicity_data	COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@H]1OC
1165_ames_mutagenicity_data	C=CC(=O)OCC(C)(C)COC(=O)C=C
1166_ames_mutagenicity_data	Cc1cccc(O)c1N
1167_ames_mutagenicity_data	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
1168_ames_mutagenicity_data	O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
1169_ames_mutagenicity_data	CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O
1170_ames_mutagenicity_data	CCCCCCCCCC(=O)O
1171_ames_mutagenicity_data	COCCCN
1172_ames_mutagenicity_data	CC(C)=CCOc1c2occc2cc2ccc(=O)oc12
1173_ames_mutagenicity_data	O=C1OC(=O)c2cc([N+](=O)[O-])ccc21
1174_ames_mutagenicity_data	N#CCCNCCC#N
1175_ames_mutagenicity_data	CCCCCCCCCc1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1
1176_ames_mutagenicity_data	Nc1ccc([N+](=O)[O-])c(N)c1
1177_ames_mutagenicity_data	C=C(C)OC(C)=O
1178_ames_mutagenicity_data	ClNc1nc(NCl)nc(NCl)n1
1179_ames_mutagenicity_data	Cc1ccccc1C=O
1180_ames_mutagenicity_data	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
1181_ames_mutagenicity_data	CCOC(=O)C(Cl)C(C)=O
1182_ames_mutagenicity_data	c1ccc(-c2cccc(-c3ccccc3)c2)cc1
1183_ames_mutagenicity_data	O=C([O-])C1O[Sb+]OC(C(=O)[O-])C(C(=O)[O-])O[Sb+]OC1C(=O)[O-]
1184_ames_mutagenicity_data	CCC/C=N\O
1185_ames_mutagenicity_data	C=C[Si](C)(C)N[Si](C)(C)C=C
1186_ames_mutagenicity_data	CC(O)CN1CC(C)OC1=O
1187_ames_mutagenicity_data	CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC
1188_ames_mutagenicity_data	C[Si](C)(C)N[Si](C)(C)C
1189_ames_mutagenicity_data	Oc1ccc2c(c1)OCO2
1190_ames_mutagenicity_data	CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1
1191_ames_mutagenicity_data	O=CC(O)C(O)C(O)C(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
1192_ames_mutagenicity_data	O=S(=O)([O-])OOS(=O)(=O)[O-]
1193_ames_mutagenicity_data	COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
1194_ames_mutagenicity_data	Nc1nc(NO)c2[nH]cnc2n1
1195_ames_mutagenicity_data	CCl
1196_ames_mutagenicity_data	c1ccc2c(c1)oc1ccccc12
1197_ames_mutagenicity_data	O=S([O-])S(=O)(=O)[O-]
1198_ames_mutagenicity_data	CC(=O)CC(=O)Nc1ccc(C)cc1
1199_ames_mutagenicity_data	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
1200_ames_mutagenicity_data	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)[O-])C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O
1201_ames_mutagenicity_data	CCOP(=S)(OCC)SCSCC
1202_ames_mutagenicity_data	C/C=C\C=C\C=O
1203_ames_mutagenicity_data	ONc1ccc(-c2ccccc2)cc1
1204_ames_mutagenicity_data	C=C(C)C(=O)OCC1CO1
1205_ames_mutagenicity_data	NCCN.[Pt+2]
1206_ames_mutagenicity_data	O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1
1207_ames_mutagenicity_data	O=C(O)C(Cl)(Cl)Cl
1208_ames_mutagenicity_data	CC(O)CN(C)c1ccc(NN)nn1
1209_ames_mutagenicity_data	CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
1210_ames_mutagenicity_data	O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1
1211_ames_mutagenicity_data	Cn1cc[n+](COCCC(C)(C)[N+](=O)[O-])c1/C=N/O
1212_ames_mutagenicity_data	Cc1cc(Nc2ccc(O)cc2)ccc1N
1213_ames_mutagenicity_data	CN(C)C1=[SH][Zn+2]2([SH]=C(N(C)C)[SH-]2)[SH-]1
1214_ames_mutagenicity_data	CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1
1215_ames_mutagenicity_data	Nc1ccc(Cc2ccc(N)c(Cc3ccc(N)cc3)c2)cc1
1216_ames_mutagenicity_data	CCOc1ccc(NO)cc1
1217_ames_mutagenicity_data	CC(C)=CCl
1218_ames_mutagenicity_data	CN(C)c1ccc(/N=N/S(=O)(=O)[O-])cc1
1219_ames_mutagenicity_data	CCN(C)C(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
1220_ames_mutagenicity_data	CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
1221_ames_mutagenicity_data	CCc1cccc(CC)c1N
1222_ames_mutagenicity_data	OCC(O)CO
1223_ames_mutagenicity_data	COc1cccc([N+](=O)[O-])c1
1224_ames_mutagenicity_data	S=C(NC1CCCCC1)NC1CCCCC1
1225_ames_mutagenicity_data	N[C@@H](CCC(=O)[O-])C(=O)[O-]
1226_ames_mutagenicity_data	N[C@@H](CCC(=O)[O-])C(=O)O
1227_ames_mutagenicity_data	CCCN(CCCN(C)C)C1C/C(=C\c2sc3ccccc3[n+]2C)c2ccccc2N1c1ccccc1
1228_ames_mutagenicity_data	COc1ccc2nc3cc(Cl)ccc3c([NH2+]CCC[NH2+]CCCl)c2c1
1229_ames_mutagenicity_data	NC(=O)NO
1230_ames_mutagenicity_data	Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2
1231_ames_mutagenicity_data	COc1ccc(Nc2ccc(OC)cc2)cc1
1232_ames_mutagenicity_data	COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1
1233_ames_mutagenicity_data	O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12
1234_ames_mutagenicity_data	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
1235_ames_mutagenicity_data	CCC(CCOC[n+]1ccn(C)c1/C=N/O)[N+](=O)[O-]
1236_ames_mutagenicity_data	C[C@]1(Cn2ccnn2)[C@@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
1237_ames_mutagenicity_data	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
1238_ames_mutagenicity_data	Nc1ncn[nH]1
1239_ames_mutagenicity_data	COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
1240_ames_mutagenicity_data	CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
1241_ames_mutagenicity_data	C/C=C/c1cc(OC)c(OC)cc1OC
1242_ames_mutagenicity_data	Cc1cc(=O)[nH]c(=S)[nH]1
1243_ames_mutagenicity_data	CCCCON=O
1244_ames_mutagenicity_data	CC(=O)C(Cl)Cl
1245_ames_mutagenicity_data	CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
1246_ames_mutagenicity_data	CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
1247_ames_mutagenicity_data	CC1(C)[C@H](C=C(Br)Br)[C@@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1
1248_ames_mutagenicity_data	CC(=O)Nc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1
1249_ames_mutagenicity_data	CN(Cc1ccccc1)N=O
1250_ames_mutagenicity_data	CCOP(=O)(OCC)OCC
1251_ames_mutagenicity_data	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
1252_ames_mutagenicity_data	Nc1ccc2[nH]c3ccccc3c2c1
1253_ames_mutagenicity_data	COc1cccc(N)c1
1254_ames_mutagenicity_data	C1=Cc2c3ccccc3cc3cccc1c23
1255_ames_mutagenicity_data	Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12
1256_ames_mutagenicity_data	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
1257_ames_mutagenicity_data	CCOC(=O)CC(C)=O
1258_ames_mutagenicity_data	CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1
1259_ames_mutagenicity_data	CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O
1260_ames_mutagenicity_data	CC1OC1C
1261_ames_mutagenicity_data	O=P(OCCCl)(OCCCl)OCCCl
1262_ames_mutagenicity_data	ClC1C(Br)C(Br)C(Br)C(Br)C1Br
1263_ames_mutagenicity_data	CCCC(O)C(CC)CO
1264_ames_mutagenicity_data	O=c1cc(CO)occ1O
1265_ames_mutagenicity_data	O=C(O)c1ccc(O)cc1
1266_ames_mutagenicity_data	O=Nc1ccc(O)cc1
1267_ames_mutagenicity_data	Cc1ccc(S(=O)(=O)Oc2ccc(/N=N/c3ccc(-c4ccc(/N=N/c5c(O)ccc6cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c56)c(C)c4)cc3C)cc2)cc1
1268_ames_mutagenicity_data	CCc1c(O)c2c(c(O)c1C(C)=O)C(=O)c1c(cc(O)c(C(=O)O)c1C(=O)O)C2=O
1269_ames_mutagenicity_data	N#CCBr
1270_ames_mutagenicity_data	CCCCCCCCCCO
1271_ames_mutagenicity_data	COc1cc(-c2ccc(/N=N/c3cc(S(=O)(=O)[O-])c4ccccc4c3O)c(OC)c2)ccc1/N=N\c1cc(S(=O)(=O)[O-])c2ccccc2c1N
1272_ames_mutagenicity_data	CC1CCC(C(C)(C)OO)CC1
1273_ames_mutagenicity_data	O=[N+]([O-])c1c2ccccc2cc2ccccc12
1274_ames_mutagenicity_data	CCOc1ccccc1N
1275_ames_mutagenicity_data	Cc1ccc(C)c(N)c1
1276_ames_mutagenicity_data	N[Pt+2]1(N)OC(=O)C2(CCC2)C(=O)O1
1277_ames_mutagenicity_data	CCN1CCOCC1
1278_ames_mutagenicity_data	CCBr
1279_ames_mutagenicity_data	Cc1nc(N)cc2[nH]c3ccccc3c12
1280_ames_mutagenicity_data	CC1=C2C(=CO[C@@H](C)[C@@H]2C)C(=O)C(=C(O)O)C1=O
1281_ames_mutagenicity_data	O=C([O-])c1ccccc1
1282_ames_mutagenicity_data	CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(O)=C(O)C1=O
1283_ames_mutagenicity_data	O=C1c2ccccc2C(=O)c2c1ccc(O)c2O
1284_ames_mutagenicity_data	ClCc1ccc(Cl)cc1
1285_ames_mutagenicity_data	Nc1cccc(N)n1
1286_ames_mutagenicity_data	CC(O)COC(C)(C)C
1287_ames_mutagenicity_data	COc1cc(-c2ccc(/N=N/c3cc(S(=O)(=O)[O-])c4ccccc4c3O)c(OC)c2)ccc1/N=N/c1cc(S(=O)(=O)[O-])c2ccccc2c1O
1288_ames_mutagenicity_data	CCN(CC[N+](C)(C)C)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1
1289_ames_mutagenicity_data	Cc1cc(-c2ccc(/N=N/c3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(O)c4c3O)c(C)c2)ccc1/N=N/c1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(O)c2c1O
1290_ames_mutagenicity_data	CC[C@@]1(O)C[C@@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@@H]1C(=O)OC
1291_ames_mutagenicity_data	O=[N+]([O-])c1cc(Cl)c(/N=N/c2ccc(N(CCO)CCO)cc2Cl)c(Cl)c1
1292_ames_mutagenicity_data	O=C[CH-]C=O
1293_ames_mutagenicity_data	O[C@@H]1[C@@H]2O[C@@H]2c2c(cc3ccc4cccc5ccc2c3c45)[C@H]1O
1294_ames_mutagenicity_data	c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C2OC12
1295_ames_mutagenicity_data	CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1
1296_ames_mutagenicity_data	Oc1c(Cl)cc(Cl)cc1Cl
1297_ames_mutagenicity_data	ClC1C2(Cl)C3C4C5OC5C5C4C1(Cl)C(Cl)(C53)C2(Cl)Cl
1298_ames_mutagenicity_data	CNC
